,OID1,C_Distri_2,N_Distric,C_Neighbou,Neighbou_1,Man_1,Women_1,Total_1,Area_km2_1,Pop_dens_1,WEB_45,Household1,ratio_MW
34,34.0,7,Horta-Guinardó,35,el Guinardó,16691.0,19300.0,35991.0,1.308253,27510.74308,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri35.pdf,80.1,0.8648186528497409
35,35.0,7,Horta-Guinardó,36,la Font d'en Fargues,4507.0,4998.0,9505.0,0.657221,14462.401773,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri36.pdf,94.8,0.9017607042817127
36,36.0,7,Horta-Guinardó,37,el Carmel,15306.0,16537.0,31843.0,0.941584,33818.550170999995,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri37.pdf,54.5,0.9255608635181714
37,37.0,7,Horta-Guinardó,38,la Teixonera,5519.0,5886.0,11405.0,0.337046,33838.100205,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri38.pdf,75.8,0.937648657832144
38,38.0,7,Horta-Guinardó,39,Sant Genís dels Agudells,3229.0,3662.0,6891.0,1.7160259999999998,4015.674261,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri39.pdf,86.3,0.8817586018569088
39,39.0,7,Horta-Guinardó,40,Montbau,2268.0,2842.0,5110.0,2.0466900000000003,2496.714076,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri40.pdf,82.2,0.7980295566502463
40,40.0,7,Horta-Guinardó,41,la Vall d'Hebron,2597.0,2872.0,5469.0,0.736146,7429.233426000001,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri41.pdf,87.5,0.9042479108635098
41,41.0,7,Horta-Guinardó,42,la Clota,270.0,267.0,537.0,0.178272,3012.242582,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri42.pdf,91.4,1.0112359550561798
42,42.0,7,Horta-Guinardó,43,Horta,12590.0,14086.0,26676.0,3.0822689999999997,8654.664408,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri43.pdf,80.6,0.8937952577026835
43,43.0,8,Nou Barris,44,Vilapicina i la Torre Llobeta,11752.0,13829.0,25581.0,0.567114,45107.302101,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri44.pdf,63.7,0.8498083737074265
44,44.0,8,Nou Barris,45,Porta,11558.0,13046.0,24604.0,0.8411,29252.173551,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri45.pdf,62.5,0.8859420512034341
45,45.0,8,Nou Barris,46,el Turó de la Peira,7135.0,8419.0,15554.0,0.354108,43924.465271,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri46.pdf,51.7,0.8474878251573821
46,46.0,8,Nou Barris,47,Can Peguera,1100.0,1195.0,2295.0,0.11951500000000001,19202.680844,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri47.pdf,51.5,0.9205020920502092
